Kapitelüberschriften;Nummerierung;H-003;H-005;H-021;H-016;H-001;H-015;H-012;H-006;H-007;dis H-003 H-005;dis H-003 H-021;dis H-003 H-016;dis H-003 H-001;dis H-003 H-015;dis H-003 H-012;dis H-003 H-006;dis H-003 H-007;dis H-005 H-021;dis H-005 H-016;dis H-005 H-001;dis H-005 H-015;dis H-005 H-012;dis H-005 H-006;dis H-005 H-007;dis H-021 H-016;dis H-021 H-001;dis H-021 H-015;dis H-021 H-012;dis H-021 H-006;dis H-021 H-007;dis H-016 H-001;dis H-016 H-015;dis H-016 H-012;dis H-016 H-006;dis H-016 H-007;dis H-001 H-015;dis H-001 H-012;dis H-001 H-006;dis H-001 H-007;dis H-015 H-012;dis H-015 H-006;dis H-015 H-007;dis H-012 H-006;dis H-012 H-007;dis H-006 H-007
;8414;ʒ uͦ deme grabe vn̄ lere daʒ fuͦnden;zv dem grab vn̄ ler da ſvnden‧;to deme gꝛaue vnde leꝛ vunden~;ʒu dē grabe vnd lere daʒ fundn̄;;ʒv dem grabe vnd lare daʒ lich;to dem gue let devneden;;;0.33;0.47;0.25;1;0.36;0.58;1;1;0.5;0.39;1;0.43;0.5;1;1;0.55;1;0.57;0.43;1;1;1;0.32;0.68;1;1;1;1;1;1;0.63;1;1;1;1;1
;8415;V n̄ di duͦcher ouch da fuͦnden;vn̄ dev tvcher ovch da ſvnden‧;vnde de doke ock daꝛ vunden~;vnd daʒ tuch auch do fundn̄;;V nd die tuieher ouch do fvnden.;vn̄ okde duke dar vnndē;;;0.35;0.48;0.42;1;0.26;0.58;1;1;0.47;0.43;1;0.35;0.63;1;1;0.54;1;0.52;0.5;1;1;1;0.35;0.67;1;1;1;1;1;1;0.68;1;1;1;1;1
;8416;d a iheſus lip waʒ in gewuͦnden;Da ieſus leip was in̂ gebvnden‧;daꝛ yeʒus liff was ine wunden~;do vuſe hern lichnā waʒ in gebundn̄;;do ieſus leip waʒ in gewuneh;daripus was mede ghebūden;;;0.29;0.42;0.49;1;0.23;0.61;1;1;0.39;0.54;1;0.26;0.52;1;1;0.6;1;0.47;0.63;1;1;1;0.49;0.74;1;1;1;1;1;1;0.68;1;1;1;1;1
;8417;E inen ſleẏger auch da fuͦnden;Einen ſloyr ovch da ſvnden‧;eynen ſloggeꝛ ok daꝛ vunden~;Gner ſlewer auch do fundn̄;;e in ſloyer ouch do wart ſvnnhh;;;;0.37;0.43;0.33;1;0.55;1;1;1;0.43;0.48;1;0.45;1;1;1;0.57;1;0.65;1;1;1;1;0.55;1;1;1;1;1;1;1;1;1;1;1;1;1
;8418;d a iheſus haubet waʒ in gewuͦndē;Da ieſus hovbt was in gebvnden‧;daꝛ yeʒus houet was mede~;do vnſs hern heibt waʒ in gebundn̄;;do ieſus houpt waʒ mit geniͤnch;;;;0.36;0.55;0.47;1;0.39;1;1;1;0.45;0.44;1;0.39;1;1;1;0.68;1;0.52;1;1;1;1;0.56;1;1;1;1;1;1;1;1;1;1;1;1;1
;8419;Si gingen heim vn̄ wiſten nicht;Si giegen heim vn̄ weſten niht‧;ʒe gingen hem vnde wuſten nicht~;Sie gilign̄ heim vnd weſten mit;;S i giengen heim vnd we ſten neh;he gingē hem vnde wuſte nicht;;;0.13;0.22;0.32;1;0.25;0.29;1;1;0.28;0.29;1;0.22;0.39;1;1;0.41;1;0.38;0.16;1;1;1;0.31;0.42;1;1;1;1;1;1;0.44;1;1;1;1;1
;8420;V mme di wuͦnderliche geſchit;Vmb die wunderlich geſchiht‧;vme de wundeꝛ liken ſcicht~;vmb diſe wūderliche geſchÿt;;vmb die winderleich geſchicc.;vme dewūderlikē gheſlicht;;;0.28;0.48;0.31;1;0.34;0.48;1;1;0.43;0.25;1;0.18;0.43;1;1;0.56;1;0.54;0.44;1;1;1;0.29;0.41;1;1;1;1;1;1;0.46;1;1;1;1;1
;8421;W a daʒ ir vil liber herre;Wa daz ir vil lieber herre‧;woꝛ hen eꝛ leue heꝛe~;wo daʒ ir vil lieber herre;;w o ir lieber herre.;Wor dat ir vil leuerkynt here;;;0.15;0.65;0.12;1;0.38;0.34;1;1;0.63;0.11;1;0.33;0.38;1;1;0.62;1;0.62;0.59;1;1;1;0.31;0.31;1;1;1;1;1;1;0.52;1;1;1;1;1
;8422;I heſus hin komen were;Ieſus hin chomen were‧;veſus heime camen weꝛe~;Jhus hin komen were;;ieſus hin bechomen weie.;hud hin ghekomē were;;;0.23;0.43;0.18;1;0.3;0.45;1;1;0.35;0.27;1;0.17;0.45;1;1;0.43;1;0.43;0.7;1;1;1;0.35;0.35;1;1;1;1;1;1;0.48;1;1;1;1;1
;8423;W ider maria magdalena;Wider maꝛia magdaleā‧;weddeꝛ maꝛia magdalene~;widder ma͛ia magdalena;;w ider maria magdalene.;Wedder maia magdalene;;;0.18;0.26;0.14;1;0.05;0.18;1;1;0.26;0.18;1;0.18;0.24;1;1;0.22;1;0.22;0.13;1;1;1;0.18;0.14;1;1;1;1;1;1;0.14;1;1;1;1;1
;8424;ʒ uͦ deme grabe ginc dar na;zv dem grab gie dar nah‧;to deme gꝛaue gink allen~;Ging ʒu dem grab allelim;;ʒv dem grabe gienck dar nch.;to dem gue ghink alleue;;;0.37;0.44;0.7;1;0.3;0.59;1;1;0.6;0.75;1;0.26;0.62;1;1;0.72;1;0.48;0.24;1;1;1;0.78;0.71;1;1;1;1;1;1;0.52;1;1;1;1;1
;8425;V n̄ da iheſum ſtende fant;Vn̄ da chin ſtent vant‧;vnde yeʒum ſtan daꝛ vand~;vnd aldo ihn̄ ſtende fant;;V nd do ieſvm ſtende vant.;vn̄ ar ſtān ihun vant;;;0.38;0.54;0.35;1;0.19;0.58;1;1;0.6;0.44;1;0.44;0.43;1;1;0.68;1;0.52;0.56;1;1;1;0.32;0.56;1;1;1;1;1;1;0.56;1;1;1;1;1
;8426;Si vil nẏder ſo ʒuͦ hant;Si viel nider ſa ze hant‧;ʒe vil neddeꝛ alto hand~;Sie vil nider alʒu hant;;ſi viel iider ſaʒehant.;Se vilnedder alto hant;;;0.28;0.54;0.25;1;0.38;0.42;1;1;0.48;0.28;1;0.24;0.4;1;1;0.38;1;0.58;0.21;1;1;1;0.35;0.26;1;1;1;1;1;1;0.5;1;1;1;1;1
;8427;V n̄ wolde ime cuͦſſen ſine fuͦʒʒe;Vn̄ wolt im chvſſen ſine ſvze‧;vnde wolde em cuſſen ʒine botte~;vnd wolde kuſſe ſein ſuſſe;;V nd wolt im chuſſen ſein fuͦr.;vn̄ wolde kuſſē ſine vote;;;0.35;0.38;0.44;1;0.32;0.41;1;1;0.41;0.5;1;0.33;0.43;1;1;0.44;1;0.47;0.38;1;1;1;0.4;0.31;1;1;1;1;1;1;0.53;1;1;1;1;1
;8428;d es geſtate ir nicht der ſuͦʒʒe;;des en ſtadede nicht de ʒotte~;des geſtat nicht der ſuſſe;;des geſtatte nicht der ſuʒte.;des gheſtade kucht de ſute;;;1;0.47;0.25;1;0.22;0.38;1;1;1;1;1;1;1;1;1;0.43;1;0.37;0.37;1;1;1;0.14;0.31;1;1;1;1;1;1;0.25;1;1;1;1;1
;8429;h e ſprach maria la daʒ ſin;Er ſprach maꝛia la daz ſin̂‧;he ſpꝛak maꝛia lat ʒin~;her ſprach ma͛ia daʒ laß ſein;;E r ſprach maria laʒ daʒ ſein.;he ſprak maia lat ſin;;;0.25;0.41;0.28;1;0.14;0.3;1;1;0.43;0.31;1;0.24;0.39;1;1;0.45;1;0.48;0.17;1;1;1;0.21;0.34;1;1;1;1;1;1;0.41;1;1;1;1;1
;8430;ʒ uͦ minen ivͦngern ganc nvͦ hin;zv minē ivng͛n ginc nv hin‧;to mynen yungeꝛen ga nu hen~;Su meinē Jangn ge nu hin;;ʒv meinen wugern ginch nv ch;ga to mynē ingeru hen;;;0.38;0.5;0.5;1;0.44;0.62;1;1;0.57;0.41;1;0.5;0.67;1;1;0.5;1;0.61;0.57;1;1;1;0.61;0.62;1;1;1;1;1;1;0.71;1;1;1;1;1
;8431;d aʒ ſi gen ʒuͦ galilen;Daz ſi gen ze galylen‧;dat ʒe gan to galdle~;daʒ ſie gen gein galilee;;d aʒ ſi gen ʒv galilen.;dat ſe ghan to galilee;;;0.3;0.43;0.29;1;0.09;0.39;1;1;0.41;0.33;1;0.27;0.41;1;1;0.42;1;0.41;0.18;1;1;1;0.29;0.33;1;1;1;1;1;1;0.36;1;1;1;1;1
;8432;d a ſuͦlen ſi mich lebendich ſen;Da ſvlen ſi mich lebent ſehen‧;daꝛ ſcollen ʒe my leuendich ʒen~;daa ſollen ſie mich lebeng ſche;;da ſullen ſi mich lebentig ſichech;dar ſcholē ſe nk leuēnich ſeen;;;0.31;0.41;0.31;1;0.29;0.5;1;1;0.53;0.26;1;0.24;0.6;1;1;0.47;1;0.53;0.41;1;1;1;0.24;0.61;1;1;1;1;1;1;0.62;1;1;1;1;1
;8433;M aria ginc do alʒuͦ hant;Maꝛia gienc da ſa zehant‧;maꝛla gink alto hand;maia ging da alʒu hant;;M aria giench do ſaʒehant.;maria ghink do alto hant;;;0.44;0.44;0.2;1;0.28;0.24;1;1;0.44;0.36;1;0.28;0.44;1;1;0.41;1;0.56;0.29;1;1;1;0.4;0.25;1;1;1;1;1;1;0.4;1;1;1;1;1
;8434;d a ſi di ivͦngern alle fant;Da ſi die ivnger alle vant‧;daꝛ ʒe de yungeꝛen alle vand~;do ſie die ʒnnger alle fint;;do ſi di ivngern alle varn.;dar ſe de ngtrn allevant;;;0.21;0.45;0.32;1;0.21;0.36;1;1;0.38;0.26;1;0.22;0.33;1;1;0.48;1;0.41;0.34;1;1;1;0.33;0.41;1;1;1;1;1;1;0.38;1;1;1;1;1
;8435;V n̄ ſagete in daʒ erſtanden were;Vn̄ ſagt daz erſtanden were‧;vnde ʒede dat vpp ſtanden weꝛe~;vnd ſagtn̄ daʒ erſtandn̄ were;;V nd ſagte daʒ erſtanden war.;vnde ſaghede dat ir ſtandē we;;;0.24;0.52;0.27;1;0.21;0.45;1;1;0.42;0.24;1;0.25;0.48;1;1;0.52;1;0.48;0.39;1;1;1;0.24;0.41;1;1;1;1;1;1;0.41;1;1;1;1;1
;8436;V on deme tode ir liber herre;Von dem tod ir lieber h͛re‧;vande dode eꝛ leue heꝛe~;vō dein tode vuſer lieber here;;von dem tode ir lieber herme.;vā dem dede er leuer he;;;0.24;0.48;0.37;1;0.14;0.41;1;1;0.48;0.37;1;0.14;0.41;1;1;0.47;1;0.43;0.38;1;1;1;0.3;0.4;1;1;1;1;1;1;0.36;1;1;1;1;1
;8437;ʒ uͦ ir do quamē ander frauͦwen;zv ir̂ da chomen and͛͛ vrowen‧;to eꝛ quemen do andeꝛ wꝛouwen~;Nu ir komē die andn̄ frawen;;ʒ v ir do chomen ander vrowe.;zo ir do āinē ander vrowen;;;0.58;0.68;0.45;1;0.39;0.39;1;1;0.67;0.53;1;0.27;0.4;1;1;0.6;1;0.67;0.53;1;1;1;0.54;0.44;1;1;1;1;1;1;0.36;1;1;1;1;1
;8438;d i wolden gerne ouch ihin ſchouͦwen;Die wolten ovch gern ihin ſchowē‧;de wolden yeſu ock ſcouwen~;die woltn̄ auch ihn̄ gee gerneſchawen;;di wolden ouch gerne ieſvm ſichnch;deok ihin woldē ſchowē;;;0.44;0.44;0.65;1;0.61;0.69;1;1;0.58;0.49;1;0.38;0.61;1;1;0.65;1;0.62;0.7;1;1;1;0.59;0.68;1;1;1;1;1;1;0.71;1;1;1;1;1
;8439;Si beguͦnden wider gen;Si begvnden wider gên‧;ſe bo guuden weddeꝛ to gen~;Sie begnnden wider gen;;D i begvnden wider gen.;Sebeghūden wedder gen;;;0.18;0.48;0.14;1;0.18;0.32;1;1;0.52;0.18;1;0.18;0.36;1;1;0.48;1;0.52;0.41;1;1;1;0.18;0.27;1;1;1;1;1;1;0.36;1;1;1;1;1
;8440;ʒ uͦ deme grabe vn̄ fuͦnden ſten;Zv dem grab vn̄ fvnden ſtên‧;to deme gꝛane vnde vnnden ſten~;Su dē grabe vnd fundn̄ ſten;;ʒv dem grabe vnd fvnden ſiech;zo dem grane vnde vndē ſten;;;0.31;0.38;0.31;1;0.31;0.41;1;1;0.39;0.39;1;0.24;0.36;1;1;0.42;1;0.35;0.23;1;1;1;0.34;0.37;1;1;1;1;1;1;0.34;1;1;1;1;1
;8441;I heſum do ſi quamen wider;Ihm̄ da ſi chomen wider‧;yheʒu do ʒe qwemen veddeꝛ~;Jheſum da ſi quamē widder;;i eſvm do ſi chomen wider.;vn̄ do ſe quamē dar wedder;;;0.38;0.5;0.23;1;0.19;0.58;1;1;0.58;0.48;1;0.28;0.62;1;1;0.54;1;0.58;0.62;1;1;1;0.4;0.5;1;1;1;1;1;1;0.65;1;1;1;1;1
;8442;A lle fuͦr in do vilen nider;alle fvr in do vielen nider‧;ſalle voꝛ em vilen neddeꝛ~;alle vo͛ im villn̄ inder;;alle vor in ſi vielen inder.;Alle vor ein vellen nedder;;;0.18;0.54;0.46;1;0.32;0.43;1;1;0.46;0.46;1;0.25;0.39;1;1;0.38;1;0.48;0.31;1;1;1;0.3;0.35;1;1;1;1;1;1;0.33;1;1;1;1;1
;8443;V n̄ ſine fvͦʒʒe tuͦſſen ſi wolden;vn̄ ſine ſvze chvſten ſi‧;vnde ʒine vate cuſſedende ſe~;vnd ſein fuſſe koſten ſie;;V nd ſein fuͦʒʒe chuſten ſi.;;;;0.47;0.59;0.53;1;0.44;1;1;1;0.48;0.44;1;0.41;1;1;1;0.59;1;0.62;1;1;1;1;0.3;1;1;1;1;1;1;1;1;1;1;1;1;1
;8444;V nd ſine wuͦnden he in wolte;vn̄ ſine wunden ovch da bî‧;vnde ock ʒine wunden dal by~;Sine wūdn̄ auch da bÿ;;vnd ſein wunden ouch da lein.;;;;0.48;0.62;0.72;1;0.52;1;1;1;0.54;0.48;1;0.29;1;1;1;0.64;1;0.61;1;1;1;1;0.57;1;1;1;1;1;1;1;1;1;1;1;1;1
;8445;C riſt troſte ſi doch mit ſuͦʒʒen woꝛtē;Chriſt troſte ſi mit ſvzē woꝛten‧;cuſte troſtede ʒe myt ʒinen woꝛde~;Trſt troſt ſie mit guten wortn̄;;c hriſt troſte ſi mit ſuʒʒen wore.;griſt troſte ſe mit ſſutē wordē;;;0.38;0.51;0.41;1;0.26;0.41;1;1;0.5;0.39;1;0.3;0.33;1;1;0.47;1;0.5;0.47;1;1;1;0.36;0.35;1;1;1;1;1;1;0.33;1;1;1;1;1
;8446;d a von ſi alle ſere gefrauͦwet woꝛdē;Da von geſrêvt ſi alle wurden‧;daꝛ van ʒe alle vꝛouwet woꝛden~;do vō ſie alle gefrewet wurdn̄;;da von gevrevt ſi alle wurden.;dar vā ſe alle ghevrowet werdē;;;0.65;0.51;0.46;1;0.62;0.46;1;1;0.58;0.63;1;0.1;0.7;1;1;0.48;1;0.58;0.45;1;1;1;0.63;0.33;1;1;1;1;1;1;0.67;1;1;1;1;1
9.7 Jesus erscheint Jüngern;8447;Di ivnger von der iuden ſoꝛgen;Die ivng͛ von d͛ inden ſoꝛgen‧;Do de yungeꝛe van deꝛ yoden ʒoꝛg~;DI iūgern vō der Judn̄ ſorgn̄;;DIiunger von der ioden ſorde.;d En iugern vā der ioddē ſerighe;;;0.23;0.45;0.37;1;0.2;0.5;1;1;0.52;0.57;1;0.4;0.62;1;1;0.61;1;0.45;0.58;1;1;1;0.45;0.41;1;1;1;1;1;1;0.44;1;1;1;1;1
;8448;waren in ein hus verboꝛgen;Warē in einē hovs v͛oꝛetgen‧;weꝛen in eyn hus voꝛ boꝛgen~;war in ein huß voborgn̄;;waren in einem hows v͛baic.;watē in eyneme hus voꝛ boighen;;;0.39;0.25;0.31;1;0.42;0.4;1;1;0.5;0.39;1;0.46;0.47;1;1;0.39;1;0.57;0.33;1;1;1;0.5;0.43;1;1;1;1;1;1;0.5;1;1;1;1;1
;8449;d i toꝛ waren vaſte verſprat;Die tvr waren alle verſpart‧;de doꝛe was vaſte to ſlafen~;die thur waren faſt beſpart;;tvͤr waren vaſt verſpart.;;;;0.36;0.57;0.39;1;0.36;1;1;1;0.68;0.32;1;0.36;1;1;1;0.64;1;0.68;1;1;1;1;0.33;1;1;1;1;1;1;1;1;1;1;1;1;1
;8450;d i ſloʒ di waren wol bewart;Dev ſloz dev waren wol bewart‧;Dat ſlot ock vaſte be vaten~;die ſloß warn wol bewart;;A lloʒ di warn wol bewart.;;;;0.2;0.68;0.25;1;0.18;1;1;1;0.67;0.3;1;0.3;1;1;1;0.64;1;0.71;1;1;1;1;0.32;1;1;1;1;1;1;1;1;1;1;1;1;1
;8451;d uͦrch beſloʒʒen choꝛe iheſus;Durch beſlozzen tvr ieſus‧;Daꝛ de ſlaten quam yeʒus~;durch beſloſſn̄ thur quam ihus;;e ur ch di geſloʒʒen tvͤr ieſus.;dor beſclotē dor quam iheſus;;;0.37;0.67;0.53;1;0.42;0.57;1;1;0.62;0.47;1;0.35;0.57;1;1;0.63;1;0.65;0.54;1;1;1;0.65;0.43;1;1;1;1;1;1;0.71;1;1;1;1;1
;8452;Q uam ʒuͦ in indaʒ ſelbe huͦs;Chom zv in in daz hovs‧;voꝛ myddelſt in dat hus to em~;her fur mitten in daʒ hus;;chom ʒv in in daʒ ſelbe hovs.;vor mittē to en in dat hud;;;0.62;0.77;0.66;1;0.31;0.72;1;1;0.67;0.56;1;0.32;0.62;1;1;0.67;1;0.73;0.63;1;1;1;0.64;0.46;1;1;1;1;1;1;0.75;1;1;1;1;1
;8453;ʒ wſchen den iuͦngern ſtunt he mitten;zwiſchē dē ivng͛ ſtvnd er enttē‧;twiſken den ynngeꝛen ſcund hemyde~;Gwiſchn̄ den Jungern ſund her;;I woiſchen den wugern ſtunt er mit.;gwiſchē den ūgern ſtūt he muttē;;;0.54;0.46;0.43;1;0.3;0.38;1;1;0.65;0.62;1;0.59;0.5;1;1;0.41;1;0.53;0.53;1;1;1;0.41;0.45;1;1;1;1;1;1;0.41;1;1;1;1;1
;8454;V n̄ ſprach nvͦ ſẏt mit gotes fride;Er ſprach nv ſei mit ev gotes vrid‧;he ſpꝛak nu ʒit myt gades vꝛeden~;her ſprach ſeÿt mit gotʒ fride;;Do ſoch nv ſeit mit gote fruelden.;heſprak un ſit mit goddes vredē;;;0.34;0.54;0.34;1;0.43;0.46;1;1;0.57;0.37;1;0.46;0.46;1;1;0.58;1;0.55;0.36;1;1;1;0.45;0.48;1;1;1;1;1;1;0.55;1;1;1;1;1
;8455;d i iuͦnger erſchrachen alle ſere;Die ivng͛͛ erſchrakten alle ſere‧;de mngeꝛen voꝛ ſcꝛelkeden alle ꝛeꝛe~;die ʒingn̄ erſchrachn̄ alle ſere;;ung erſchrackten alle ſere.;Seigern er ſcraken alle ſere;;;0.27;0.58;0.27;1;0.3;0.36;1;1;0.53;0.27;1;0.3;0.36;1;1;0.61;1;0.58;0.47;1;1;1;0.38;0.41;1;1;1;1;1;1;0.36;1;1;1;1;1
;8456;Si wonten daʒ ein geiſt he were;Si wanten daz ez ein geiſt were‧;ʒe menden dat id eyn dꝛoge nſſe weꝛ;Sie wantn̄ daʒ es eȳ betrnguſ vē;;D wanden daʒ ein geiſt er were.;Sewendē dat it en drochwē;;;0.28;0.57;0.59;1;0.19;0.65;1;1;0.54;0.53;1;0.34;0.62;1;1;0.69;1;0.54;0.51;1;1;1;0.66;0.59;1;1;1;1;1;1;0.6;1;1;1;1;1
;8457;I heſus ſprach her ʒuͦ mir get;Jeſus ſprach her zv mir gêt‧;yhe ʒus ſpꝛak heꝛe to my gad~;Jus ſprach her ʒu mir get;;elus ſprach ʒv mir her get.;Iheſus ſprak he to mir get;;;0.27;0.57;0.2;1;0.4;0.23;1;1;0.55;0.21;1;0.43;0.32;1;1;0.59;1;0.66;0.38;1;1;1;0.38;0.35;1;1;1;1;1;1;0.46;1;1;1;1;1
;8458;M in hende vn̄ mine fvͦʒʒe ſet;Mein hend vn̄ min ſvͤze ſeht‧;myne hende vnde myne vote be ʒad~;Sein hende vnd meȳ fuſſe ſehet;;mein hende vnd fuͦʒʒe ſchet.;myne hende vn̄ vote beret;;;0.3;0.48;0.4;1;0.33;0.43;1;1;0.52;0.37;1;0.45;0.52;1;1;0.55;1;0.58;0.36;1;1;1;0.3;0.5;1;1;1;1;1;1;0.44;1;1;1;1;1
;8459;V n̄ alle mines libes wuͦnden;Vn̄ alle mines leibes wunden‧;vnde alle mynes lines wunden~;vnd alle mÿnes libes tat;;aa alle meines leibes wunden.;vn̄ alle mynes liues wūdē;;;0.14;0.24;0.34;1;0.24;0.28;1;1;0.21;0.34;1;0.17;0.28;1;1;0.34;1;0.31;0.28;1;1;1;0.43;0.28;1;1;1;1;1;1;0.39;1;1;1;1;1
;8460;d i ſint noch friſch vn̄ vnverbuͦndē;Die ſint noch vriſch vn̄ vngepv̄den‧;de ʒind noch vꝛis vnde vn voꝛ bunden;Dÿ ſint noch friſch vnd vnve͛bundn̄;;di ſint noch friſch vn̄ vngebunden.;deſint noch vvorbūden;;;0.31;0.5;0.19;1;0.17;0.58;1;1;0.5;0.31;1;0.17;0.53;1;1;0.42;1;0.42;0.53;1;1;1;0.17;0.57;1;1;1;1;1;1;0.5;1;1;1;1;1
;8461;N icht ſulet fuͦrten uwer kein;Niht ſol mich fvrhten evr chaī‧;nicht ſcal vꝛuchten yweꝛ en~;nicht ſol forchtē ewer keÿn;;S icht ſol furchten ewr dehein.;;;;0.61;0.47;0.4;1;0.4;1;1;1;0.65;0.55;1;0.52;1;1;1;0.43;1;0.5;1;1;1;1;0.33;1;1;1;1;1;1;1;1;1;1;1;1;1
;8462;E in geiſt der in hat nicht fleiſch;Ein gaiſt der hat noch vleiſh noch;en geiſt hat noch vles eddeꝛ ben~;Ein griſt hat weder fleyſch nochbein;;ein geiſt hat nicht fleiſch noch pein.;;;;0.34;0.69;0.64;1;0.49;1;1;1;0.5;0.47;1;0.38;1;1;1;0.53;1;0.43;1;1;1;1;0.24;1;1;1;1;1;1;1;1;1;1;1;1;1
;8463;A ls ir an mir alle ſet noch bein;Als ir an mir alle ſeht‧bain‧;alʒo gi alle an my ʒot~;als ir alle an mir ſehet;;A ls ir alle an miͤr nv ſecht.;;;;0.3;0.64;0.58;1;0.58;1;1;1;0.66;0.59;1;0.62;1;1;1;0.46;1;0.55;1;1;1;1;0.24;1;1;1;1;1;1;1;1;1;1;1;1;1
;8464;d ar v̄me ſult ir vch fuͦrten nicht;Dar vmb ſchvlt ir fvrhtē niht‧;daꝛ vm̄e ſcolle gi vꝛuchten nicht~;dar vmb ſolt ir euch forchtn̄ nit;;dar vm furchtet ewn nicht.;;;;0.49;0.49;0.4;1;0.49;1;1;1;0.47;0.42;1;0.57;1;1;1;0.59;1;0.56;1;1;1;1;0.61;1;1;1;1;1;1;1;1;1;1;1;1;1
;8465;I heſus ouch da nder ſaʒ;Ieſus ovch do inder ſaz‧;yeʒus ok daꝛ neddeꝛ ʒat~;Jhns auch danider ſaß;;llls ouch do inder ſaʒ.;Dus ok dar nedder ſas;;;0.29;0.58;0.38;1;0.33;0.5;1;1;0.58;0.46;1;0.29;0.54;1;1;0.67;1;0.67;0.33;1;1;1;0.36;0.57;1;1;1;1;1;1;0.55;1;1;1;1;1
;8466;Mit ſinē ivngern drant vn̄ aʒ;Mit ſinē ivngn͛͛ dar nah vn̄ aẑ‧;myt ʒinen yungeꝛen dꝛank vnde t~;mit ſeinē ſungn̄ trolick vnd as;;Mib ſein iuger tranch vn̄ aʒ.;vn mit en drank vnde as;;;0.28;0.44;0.45;1;0.31;0.52;1;1;0.62;0.47;1;0.44;0.62;1;1;0.56;1;0.59;0.5;1;1;1;0.39;0.58;1;1;1;1;1;1;0.57;1;1;1;1;1
;8467;d a von duͦ wol erkanten daʒ;Da von do wol erchanten daz‧;dat ʒe do wol be canden das~;do vb ſie wol erkantn̄ daʒ;;D a von ſi wol erchanten daʒ.;dar vn̄ erkandē das;;;0.25;0.46;0.32;1;0.18;0.54;1;1;0.36;0.43;1;0.18;0.57;1;1;0.54;1;0.46;0.57;1;1;1;0.32;0.58;1;1;1;1;1;1;0.57;1;1;1;1;1
;8468;d aʒ he ir rechter meiſter waʒ;Daz er ir rehter meiſter was‧;dat he eꝛ ꝛechte meſteꝛ was~;daʒ her ir recht meniſter waʒ;;daʒ er ir recht͛ maiſt͛ waʒ;dat he er rechte meyſter was;;;0.23;0.33;0.17;1;0.27;0.2;1;1;0.38;0.28;1;0.31;0.28;1;1;0.38;1;0.46;0.18;1;1;1;0.21;0.24;1;1;1;1;1;1;0.36;1;1;1;1;1
;8469;d ar noch iheſus in diche erſchein;Dar nach iħc in dik erſchain̂‧;;;;ar nach ieſus dick erſchein.;dat iheſus alden igern erſchem;;;0.38;1;1;1;0.26;0.53;1;1;1;1;1;0.33;0.73;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;0.6;1;1;1;1;1
;8470;V n̄ erʒauͦgete ſich den ivngern ſin;Vn̄ zeigte ſich den ivngern ſin̂‧;;;;vn̄ ʒeigte ſich den ivng͛ ſein.;;;;0.28;1;1;1;0.31;1;1;1;1;1;1;0.21;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1
;8471;he gap en troſt vn̄ rechte lere;Er gab in troſt vn̄ rehte lere‧;;;;E r gab in troſt vnd rechtelere.;;;;0.19;1;1;1;0.23;1;1;1;1;1;1;0.16;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1
;8472;Vn ſinen geiſt der bẏ in were;vn̄ ſinē geiſt d͛ ie in w͛e‧;;;;vnd ſeinen geiſt der bei in were.;;;;0.34;1;1;1;0.12;1;1;1;1;1;1;0.34;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1
9.8 Aufruf zur Missionierung;8473;Do ferʒich tage ein ende namē;Do vierzig tag ein̂ ende nam̄‧;Do veꝛtich dage en ende nemen~;D vircʒig tage ein ende namen;;Do viertʒich tag ein ende namē;d o vertich daghe en ende namē;;;0.3;0.3;0.28;1;0.13;0.2;1;1;0.43;0.27;1;0.23;0.4;1;1;0.37;1;0.33;0.23;1;1;1;0.27;0.4;1;1;1;1;1;1;0.23;1;1;1;1;1
;8474;ʒuͦ iheruſalem ſi alle quamen;ze irlm ſi alle chamen‧;to yeꝛuſalem ʒe alle quemen~;ʒu iheruſalem ſie alle quamen;;ʒv ieruſalem ſi alle quamē.;to heruſalen ſe alle quamē;;;0.41;0.34;0.07;1;0.17;0.28;1;1;0.54;0.41;1;0.46;0.58;1;1;0.31;1;0.36;0.29;1;1;1;0.17;0.24;1;1;1;1;1;1;0.19;1;1;1;1;1
;8475;I n ein huͦs diiuͦnger ſaʒʒen;Ineinem hovs die ivng͛ ſazen‧;yn em hus de yungeꝛen ʒetten~;die ʒungn̄ Jn einē hus ſaſſen;;I u ein howe di ivnger ſaʒʒen.;An eyneme hus de iūgere ſatē;;;0.52;0.59;0.72;1;0.24;0.59;1;1;0.62;0.79;1;0.45;0.55;1;1;0.79;1;0.66;0.55;1;1;1;0.72;0.79;1;1;1;1;1;1;0.62;1;1;1;1;1
;8476;A lle mit ein ander aʒʒen;alle mit einander azen‧;alle to ʒamende etten~;alle mit ein ander aſſen;;alle mit ein ander aʒʒen.;Alle mit en ander aten;;;0.2;0.56;0.12;1;0.04;0.16;1;1;0.52;0.17;1;0.17;0.17;1;1;0.54;1;0.54;0.5;1;1;1;0.08;0.12;1;1;1;1;1;1;0.12;1;1;1;1;1
